28 Feb. 2025	0.2343	+0.0014	0.6 %
27 Feb. 2025	0.2329	+0.0010	0.43 %
26 Feb. 2025	0.2319	0	0 %
25 Feb. 2025	0.2319	-0.0008	-0.34 %
24 Feb. 2025	0.2327	-0.0010	-0.43 %
21 Feb. 2025	0.2337	-0.0001	-0.04 %
20 Feb. 2025	0.2338	-0.0019	-0.81 %
19 Feb. 2025	0.2357	+0.0009	0.38 %
18 Feb. 2025	0.2348	+0.0020	0.86 %
17 Feb. 2025	0.2328	-0.0003	-0.13 %
14 Feb. 2025	0.2331	+0.0010	0.43 %
13 Feb. 2025	0.2321	-0.0014	-0.6 %
12 Feb. 2025	0.2335	-0.0001	-0.04 %
11 Feb. 2025	0.2336	-0.0005	-0.21 %
10 Feb. 2025	0.2341	0	0 %
7 Feb. 2025	0.2341	+0.0011	0.47 %
6 Feb. 2025	0.2330	+0.0001	0.04 %
5 Feb. 2025	0.2329	-0.0033	-1.4 %
4 Feb. 2025	0.2362	+0.0059	2.56 %
3 Feb. 2025	0.2303	-0.0012	-0.52 %
31 Ian. 2025	0.2315	-0.0020	-0.86 %
30 Ian. 2025	0.2335	+0.0005	0.21 %
29 Ian. 2025	0.2330	+0.0021	0.91 %
28 Ian. 2025	0.2309	-0.0003	-0.13 %
27 Ian. 2025	0.2312	-0.0025	-1.07 %
23 Ian. 2025	0.2337	+0.0018	0.78 %
22 Ian. 2025	0.2319	+0.0005	0.22 %
21 Ian. 2025	0.2314	-0.0004	-0.17 %
20 Ian. 2025	0.2318	+0.0001	0.04 %
17 Ian. 2025	0.2317	-0.0033	-1.4 %
16 Ian. 2025	0.2350	-0.0004	-0.17 %
15 Ian. 2025	0.2354	+0.0001	0.04 %
14 Ian. 2025	0.2353	+0.0009	0.38 %
13 Ian. 2025	0.2344	-0.0009	-0.38 %
10 Ian. 2025	0.2353	-0.0011	-0.47 %
9 Ian. 2025	0.2364	-0.0006	-0.25 %
8 Ian. 2025	0.2370	+0.0018	0.77 %
3 Ian. 2025	0.2352	+0.0047	2.04 %
31 Dec. 2024	0.2305	-0.0035	-1.5 %
30 Dec. 2024	0.2340	-0.0016	-0.68 %
27 Dec. 2024	0.2356	-0.0021	-0.88 %
24 Dec. 2024	0.2377	-0.0003	-0.13 %
